,stock_code,corp_name,sector,product
6856,035950,케이알,,
6881,000790,씨앤상선,,
6993,058900,투미비티,,
7055,039990,코아정보시스템,,
7065,066340,케이에스리소스,,
7066,047600,세계투어,,
7159,122290,동양밸류오션기업인수목적,,
7181,077960,케이이엔지,,
7184,063280,사이버패스,,
7189,079870,산양전기,,
7199,032150,으뜸상호저축은행,,
7237,080570,국제개발,,
7260,004230,세신,,
7342,084160,골든브릿지더블유엠경매부동산일호투자회사,,
7404,061140,엘앤피아너스,,
7421,038690,에이스일렉트로닉스,,
7443,090090,디앤샵,,
7444,054120,더체인지,,
7501,105380,다산자기관리부동산투자회사,,
7534,035500,써니트렌드,,
7535,054650,뉴젠비아이티,,
7537,033880,룩소네이트,,
7556,044070,한서제약,,
7574,042100,현대오토넷,,
7575,016990,LG마이크론,,
7637,001600,서광건설산업,,
7651,036660,플러스프로핏,,
7668,037020,한와이어리스,,
7669,049690,포휴먼,,
7754,023670,알이네트웍스,,
7769,101790,케이알제2호개발전문위탁관리부동산투자회사,,
7825,094520,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,,
7877,088960,씨티엘테크,,
7888,052650,이디디컴퍼니,,
7913,032390,케이티프리텔,,
7944,035830,메카포럼,,
7954,048130,에스피코프,,
7993,045400,이롬텍,,
8052,047450,이앤텍,,
8053,006070,기린,,
8137,088810,맥스브로,,
8139,037700,토자이홀딩스,,
8158,013200,우방,,
8181,023020,동양매직,,
8182,900020,코웰이홀딩스유한공사,,
8190,078670,아구스,,
8244,007480,대한은박지,,
8246,073130,인스프리트,,
8252,079340,하이럭스,,
8258,053070,트리니티,,
8262,032570,카라반케이디이,,
8283,045380,더존디지털웨어,,
8288,080140,디보스,,
8311,045290,포네이처,,
8312,076090,테이크시스템즈,,
8313,033190,폴켐,,
8358,007050,유리이에스,,
8377,047370,에프아이투어,,
8378,085680,모빌탑,,
8394,052970,올리브나인,,
8398,030420,디패션,,
8502,025970,알덱스,,
8509,044770,에이엠에스,,
8510,016160,오라바이오틱스,,
8519,037320,시노펙스그린테크,,
8615,059720,야호커뮤니케이션,,
8618,048760,브이케이,,
8620,063350,팬택앤큐리텔,,
8627,025460,팬텀엔터테인먼트그룹,,
8631,052560,삼성수산,,
8660,084240,동북아15호선박투자회사,,
8701,047940,비엔디,,
8717,033260,쌈지,,
8740,018890,브이오산업,,
8750,041800,코디콤,,
8766,052640,제네시스엔알디,,
8827,080410,동북아6호선박투자회사,,
8836,041450,인네트,,
8855,098150,한국월드와이드아시아태평양특별자산1호투자회사,,
